,기업명,종목코드,현재주가,상장주식수,PER,PBR,배당수익률 (%),당좌비율 (%),매출액 (억),영업이익 (억),시가총액 (억),PSR,POR,ROE
97,인터지스,129260,3020.0,29747874.0,11.35,0.43,3.97,90.72,4654.0,107.0,898.3857948,0.19303519441340783,8.396128923364486,3.7885462555066076
98,삼양사,145990,89300.0,10289803.0,10.56,0.84,1.68,110.05,20009.0,1473.0,9188.794079,0.4592330490779149,6.238149408689749,7.954545454545454
99,하나투어,39130,118500.0,11616185.0,171.24,6.92,1.27,112.09,5955.0,209.0,13765.179225,2.3115330352644836,65.86210155502393,4.041111889745387
100,트러스제7호,140890,2910.0,9686000.0,,,,,,,281.8626,,,
101,에이블씨엔씨,78520,17850.0,24823163.0,17.43,1.56,1.96,224.36,4346.0,243.0,4430.9345955,1.0195431650943396,18.23429874691358,8.950086058519794
102,삼원강재,23000,3060.0,40000000.0,8.62,0.65,4.09,205.13,2684.0,159.0,1224.0,0.45603576751117736,7.69811320754717,7.5406032482598615
103,신세계인터내셔날,31430,77400.0,7140000.0,31.83,1.16,0.77,42.53,10211.0,270.0,5526.36,0.5412163353246499,20.468,3.6443606660383288
104,에이리츠,140910,4635.0,3628735.0,,,,,,,168.19186725,,,
105,한국항공우주,47810,53300.0,97475107.0,19.62,3.59,1.28,161.47,29463.0,3201.0,51954.232031,1.7633720948647456,16.230625439237738,18.297655453618756
106,롯데하이마트,71840,71300.0,23607712.0,13.86,0.89,0.35,59.53,39394.0,1745.0,16832.298656,0.42728077006650755,9.646016421776503,6.421356421356422
107,한세엠케이,69640,11600.0,12909322.0,29.37,0.96,1.72,100.17,3185.0,103.0,1497.481352,0.4701668295133438,14.538653902912621,3.268641470888662
108,코오롱플라스틱,138490,8380.0,38000000.0,16.3,1.82,1.19,57.61,2384.0,179.0,3184.4,1.335738255033557,17.789944134078212,11.16564417177914
109,이마트,139480,260500.0,27875819.0,19.3,0.94,0.58,19.03,147779.0,5469.0,72616.508495,0.4913858430155841,13.277840280672883,4.870466321243523
110,DGB금융지주,139130,11500.0,169145833.0,6.76,0.53,2.61,,36550.0,3869.0,19451.770795,0.532196191381669,5.02759648358749,7.840236686390534
111,스카이라이프,53210,13650.0,47821966.0,9.51,1.2,3.04,232.28,6651.0,806.0,6527.698359,0.9814611876409562,8.098881338709678,12.618296529968454
112,세아특수강,19440,19800.0,8570000.0,7.19,0.56,3.79,164.67,6688.0,404.0,1696.86,0.2537171052631579,4.2001485148514845,7.7885952712100135
113,메리츠금융지주,138040,15450.0,142885818.0,8.73,1.23,1.94,,123516.0,6884.0,22075.858881,0.17872873863305158,3.2068359792271934,14.0893470790378
114,한국종합기술,23350,5100.0,10950000.0,18.21,0.46,1.96,141.89,1994.0,42.0,558.45,0.2800651955867603,13.296428571428573,2.5260845689181766
115,BNK금융지주,138930,10100.0,325935246.0,6.44,0.49,2.28,,49127.0,7123.0,32919.459846,0.6700889499867689,4.621572349571809,7.608695652173912
116,일진머티리얼즈,20150,39350.0,46000000.0,40.53,5.56,0.12,140.34,3990.0,290.0,18101.0,4.536591478696742,62.41724137931035,13.718233407352576
117,현대위아,11210,64000.0,27195083.0,13.31,0.52,1.72,174.92,75894.0,2627.0,17404.85312,0.22933108177194508,6.625372333460221,3.9068369646882046
118,선진,136490,16700.0,23779604.0,9.46,1.6,0.27,43.04,6453.0,423.0,3971.193868,0.6154027379513405,9.388165172576832,16.913319238900634
119,미원화학,134380,58300.0,2185180.0,9.73,1.46,1.72,808.44,1399.0,160.0,1273.95994,0.9106218298784846,7.962249625,15.00513874614594
120,팀스,134790,52700.0,2000000.0,786.57,4.1,0.38,,99.0,4.0,1054.0,10.646464646464647,263.5,0.5212504926452826
121,두산엔진,82740,4120.0,69500000.0,-1.58,0.54,,32.88,8029.0,42.0,2863.4,0.3566322082451115,68.17619047619048,-34.177215189873415
122,대성에너지,117580,5920.0,27500000.0,11.65,0.56,4.22,95.88,7386.0,193.0,1628.0,0.22041700514486867,8.435233160621761,4.8068669527897
123,현대에이치씨엔,126560,4200.0,112876596.0,10.19,0.75,0.95,639.15,2921.0,492.0,4740.817032,1.623011650804519,9.635806975609755,7.360157016683024
124,케이티스,58860,3220.0,34802000.0,11.22,0.69,2.48,163.32,4367.0,132.0,1120.6244,0.25661195328600866,8.489578787878788,6.149732620320854
125,한전산업,130660,3985.0,32600000.0,9.84,1.98,5.47,214.56,3100.0,151.0,1299.11,0.41906774193548385,8.603377483443708,20.121951219512198
126,코라오홀딩스,900140,4615.0,47869508.0,5.14,0.5,2.6,65.88,3923.0,564.0,2209.1777942,0.5631347933214377,3.916981904609929,9.72762645914397
127,동양네트웍스,30790,1700.0,91096176.0,-22.08,2.2,,271.74,941.0,66.0,1548.634992,1.6457332539851222,23.464166545454546,-9.963768115942031
128,휠라코리아,81660,83700.0,12223014.0,2.95,1.11,0.6,52.98,9671.0,118.0,10230.662718,1.0578702014269465,86.70053150847457,37.6271186440678
129,KTcs,58850,2265.0,42685000.0,12.65,0.63,3.53,147.76,9537.0,88.0,966.81525,0.10137519660270525,10.986536931818181,4.980237154150197
130,현대홈쇼핑,57050,119500.0,12000000.0,11.08,0.97,1.25,225.65,9694.0,1113.0,14340.0,1.479265525067052,12.884097035040432,8.754512635379061
131,도화엔지니어링,2150,4700.0,33720000.0,127.03,0.69,3.62,120.55,3247.0,149.0,1584.84,0.48809362488450875,10.636510067114093,0.543178776666929
132,대성산업,128820,4230.0,45235478.0,-1.35,3.22,,16.07,7830.0,201.0,1913.4607194,0.2443755708045977,9.519705071641791,-238.51851851851853
133,아이마켓코리아,122900,9420.0,35943340.0,12.96,0.85,4.78,122.28,34000.0,605.0,3385.862628,0.09958419494117647,5.596467153719008,6.558641975308642
134,한미약품,128940,591000.0,11163452.0,288.43,10.18,0.31,119.52,8827.0,268.0,65976.00132,7.474340242437974,246.17910940298506,3.5294525534791803
135,우진,105840,4960.0,17360000.0,-225.45,0.81,4.43,136.23,1084.0,3.0,861.056,0.7943321033210332,287.01866666666666,-0.35928143712574856
136,무학,33920,19300.0,28500000.0,8.95,1.1,1.81,78.77,2702.0,520.0,5500.5,2.0357142857142856,10.577884615384615,12.290502793296092
137,웅진에너지,103130,9400.0,25453501.0,-1.44,2.44,,26.91,1739.0,533.0,2392.629094,1.375864918918919,4.488985166979362,-169.44444444444443
138,이연제약,102460,26900.0,16770000.0,38.26,2.33,1.0,502.13,1218.0,155.0,4511.13,3.7037192118226603,29.104064516129032,6.089911134343963
139,한국화장품,123690,19250.0,16068000.0,21.15,5.55,,122.93,1608.0,157.0,3093.09,1.923563432835821,19.701210191082804,26.24113475177305
140,SJM,123700,4585.0,15604898.0,4.77,0.45,4.36,312.14,1768.0,143.0,715.4845733,0.4046858446266968,5.003388624475524,9.433962264150944
141,한라홀딩스,60980,59300.0,10802691.0,8.5,0.69,2.11,88.43,10012.0,1159.0,6405.995763,0.6398317781662005,5.527174946505609,8.117647058823529
142,삼성생명,32830,130500.0,200000000.0,12.71,0.88,0.92,,304286.0,9865.0,261000.0,0.8577456734782408,26.457171819564117,6.923682140047206
143,신세계푸드,31440,129000.0,3872480.0,34.96,1.68,0.47,67.15,10690.0,214.0,4995.4992,0.46730581852198316,23.34345420560748,4.805491990846682
144,한화생명,88350,7240.0,868530000.0,7.9,0.64,1.11,,206661.0,5210.0,62881.572,0.30427401396489906,12.06939961612284,8.10126582278481
145,조선선재,120030,80000.0,1257651.0,6.96,1.11,1.88,662.49,631.0,172.0,1006.1208,1.5944862123613313,5.849539534883721,15.948275862068966
146,코오롱인더,120110,79200.0,25651728.0,12.98,1.12,1.39,64.77,45622.0,2767.0,20316.168576,0.44531516759458156,7.342308845681243,8.628659476117104
147,KC코트렐,119650,4980.0,13000000.0,66.4,0.94,0.8,126.22,1793.0,60.0,647.4,0.3610708310094813,10.79,1.4156626506024095
148,지역난방공사,71320,75800.0,11578744.0,6.93,0.49,5.01,53.61,17199.0,1617.0,8776.687952,0.5103022240827956,5.427760019789734,7.07070707070707
149,락앤락,115390,27550.0,55000000.0,32.26,2.22,1.82,364.21,4251.0,602.0,15152.5,3.5644554222535874,25.170265780730897,6.881587104773715
0,영흥철강,12160,1205.0,85826509.0,401.67,0.35,2.49,67.09,1859.0,5.0,1034.20943345,0.5563256769499731,206.84188669,0.08713620633853661
1,우리들휴브레인,118000,3940.0,21553594.0,-7.77,5.4,,122.11,112.0,57.0,849.2116036,7.582246460714286,14.898449185964912,-69.4980694980695
2,한전기술,52690,23000.0,38220000.0,49.36,2.07,0.48,86.33,5060.0,59.0,8790.6,1.7372727272727273,148.99322033898306,4.193679092382496
3,GKL,114090,29900.0,61855670.0,16.17,3.57,3.34,298.8,5482.0,1512.0,18494.84533,3.3737404834002187,12.232040562169312,22.077922077922075
4,SK,34730,296000.0,70360297.0,27.42,1.27,1.25,89.83,836175.0,52982.0,208266.47912,0.2490704447274793,3.930891229474161,4.631655725747629
5,황금에스티,32560,9740.0,14000000.0,6.58,0.69,0.77,103.48,2253.0,202.0,1363.6,0.6052374611628939,6.75049504950495,10.486322188449847
6,하이트진로,80,23000.0,70133611.0,42.75,1.24,3.91,52.23,18902.0,1240.0,16130.73053,0.8533875002645223,13.008653653225807,2.9005847953216377
7,동양생명,82640,7410.0,161358585.0,66.16,0.42,2.7,,74295.0,298.0,11956.6711485,0.16093507165354332,40.12305754530201,0.6348246674727932
8,유니온머티리얼,47400,2550.0,42000000.0,16.04,1.08,1.37,167.91,1072.0,80.0,1071.0,0.9990671641791045,13.3875,6.7331670822942655
9,형지엘리트,93240,5300.0,19059306.0,-9.65,1.59,,84.46,1741.0,21.0,1010.143218,0.5802086260769673,48.102058,-16.476683937823836
10,키움증권,39490,105500.0,22099740.0,12.96,1.87,0.81,,9437.0,2307.0,23315.2257,2.4706183850800043,10.106296358907672,14.429012345679013
11,영원무역,111770,31300.0,44311468.0,12.61,1.11,0.8,150.35,20016.0,1794.0,13869.489484,0.6929201380895283,7.73104207580825,8.80253766851705
12,아주캐피탈,33660,6970.0,57545890.0,8.2,0.54,5.02,,7616.0,696.0,4010.948533,0.5266476540178572,5.762857087643678,6.585365853658538
13,한미글로벌,53690,9650.0,10867583.0,11.26,0.98,3.11,182.24,1691.0,94.0,1048.7217595,0.6201784503252513,11.156614462765956,8.703374777975133
14,동아지질,28100,11900.0,11500000.0,12.03,0.9,1.68,143.89,3232.0,125.0,1368.5,0.42342202970297027,10.948,7.4812967581047385
15,STX중공업,71970,4865.0,24665351.0,-0.01,-0.01,,12.79,4165.0,2832.0,1199.96932615,0.2881078814285714,0.42371798239759884,100.0
16,LG하우시스,108670,91600.0,8967670.0,12.19,0.98,1.97,97.41,29283.0,1570.0,8214.38572,0.2805172188641874,5.232092815286625,8.039376538146021
17,한세실업,105630,27250.0,40000000.0,23.21,2.39,1.21,87.76,15477.0,816.0,10900.0,0.7042708535245849,13.357843137254902,10.297285652735889
18,KGP,109070,3515.0,8991545.0,-1.04,1.74,,83.52,460.0,89.0,316.05280675,0.6870713190217391,3.551155132022472,-167.3076923076923
19,미원홀딩스,107590,48300.0,2331774.0,9.98,1.46,1.14,293.63,2878.0,405.0,1126.246842,0.39132968797776235,2.7808564000000002,14.629258517034065
20,NAVER,35420,903000.0,32962679.0,39.72,7.24,0.12,232.25,40226.0,11020.0,297652.99137,7.399517510316711,27.010253300362976,18.227593152064454
21,부국철강,26940,2580.0,20000000.0,16.33,0.47,2.91,653.42,1402.0,26.0,516.0,0.3680456490727532,19.846153846153847,2.8781383955909368
22,KB금융,105560,65700.0,418111537.0,12.04,0.84,1.9,,253558.0,16769.0,274699.279809,1.0833784767548253,16.381375145148787,6.976744186046512
23,한국철강,104700,35900.0,9210000.0,7.1,0.43,2.51,315.37,6634.0,530.0,3306.39,0.4984006632499246,6.238471698113207,6.056338028169014
24,일진전기,103590,4505.0,37080390.0,118.55,0.52,1.33,52.91,6781.0,45.0,1670.4715695,0.2463459031853709,37.12159043333333,0.4386334879797554
25,풍산,103140,49350.0,28024278.0,10.05,1.12,1.42,65.86,28318.0,2178.0,13829.981193,0.4883812837417897,6.349853623966942,11.144278606965175
26,LG이노텍,11070,140000.0,23667107.0,669.86,1.86,0.18,96.97,57546.0,1048.0,33133.9498,0.5757819796336844,31.6163643129771,0.2776699608873496
27,명문제약,17180,6340.0,24040000.0,20.86,1.7,0.75,83.92,1422.0,101.0,1524.136,1.0718255977496483,15.090455445544555,8.149568552253115
28,비상교육,100220,12100.0,12996741.0,6.14,0.76,2.73,234.96,1439.0,355.0,1572.605661,1.0928461855455178,4.4298751014084505,12.377850162866451
