,기업명,종목코드,현재주가,상장주식수,PER,PBR,배당수익률 (%),당좌비율 (%),매출액 (억),영업이익 (억),1년 수익률 (PBR 0.5),1년 수익률 (PBR 2),1년 수익률 (PBR 유지),시가총액 (억),PSR,POR,ROE
27,명문제약,017180,6470.0,24540000.0,21.28,1.74,0.73,83.92,1422.0,101.0,0.6558106024679986,1.0410344402495997,0.9938134000935892,1587.738,1.1165527426160338,15.720178217821783,8.176691729323307
28,비상교육,100220,12350.0,12996741.0,6.27,0.78,2.67,234.96,1439.0,355.0,0.9522771629856804,1.5116457702887616,1.104430103085445,1605.0975135,1.1154256521890202,4.521401446478873,12.44019138755981
29,동성코퍼레이션,102260,6640.0,45444970.0,8.06,0.98,3.01,86.4,8529.0,650.0,0.8570799379585382,1.3605295951362226,1.0726055009620776,3017.546008,0.3537983360300152,4.642378473846153,12.158808933002481
34,SBS미디어홀딩스,101060,3430.0,139896190.0,38.11,0.7,0.73,315.66,5045.0,214.0,0.9202442396194592,1.4607966740396057,1.0294670548763925,4798.439317,0.951127713974232,22.422613630841123,1.8367882445552346
35,S&TC,100840,16850.0,7084612.0,74.23,0.54,2.97,200.61,2541.0,12.0,1.046734215881787,1.661586995421857,1.0739341990328093,1193.757122,0.46979815899252264,99.47976016666667,0.7274686784319009
36,진양홀딩스,100250,2965.0,55895292.0,10.05,0.54,4.72,138.26,2597.0,224.0,1.0515328760309286,1.6692043935906424,1.0788575550915942,1657.2954078,0.638157646438198,7.3986402133928575,5.3731343283582085
40,한전KPS,051600,42250.0,45000000.0,21.53,2.41,1.61,210.78,12231.0,1058.0,0.6898283163230994,1.09503419500874,1.1652614084082158,19012.5,1.5544518027961736,17.97022684310019,11.193683232698561
42,기신정기,092440,4795.0,29200000.0,479.5,0.64,3.13,896.67,1078.0,101.0,0.9845343547914684,1.5628508704948094,1.0689749587155448,1400.14,1.298831168831169,13.862772277227723,0.1334723670490094
44,효성ITX,094280,14600.0,11558200.0,24.79,3.33,1.37,83.8,3404.0,113.0,0.5793804763987761,0.9197091777252536,1.0900722056143013,1687.4972,0.4957394829612221,14.93360353982301,13.432835820895523
45,유나이티드제약,033270,35400.0,16207322.0,29.4,2.95,0.71,221.26,1769.0,271.0,0.6076591358135954,0.9645987514285884,1.0980211415737835,5737.391988,3.2432967710570946,21.171188147601477,10.034013605442178
48,팬오션,028670,6110.0,534539944.0,33.21,1.29,,100.31,18740.0,1679.0,,,,32660.3905784,1.7428169999146212,19.452287420131032,3.884372177055104
51,SK이노베이션,096770,210000.0,92465564.0,11.78,1.14,3.05,120.41,395205.0,32283.0,0.8002100815021701,1.2702543251721037,1.0532116011725825,194177.6844,0.4913340782631799,6.0148587306012455,9.67741935483871
54,알루코,001780,4555.0,74524102.0,14.23,1.69,1.1,86.68,4286.0,245.0,0.7008793040235803,1.1125765445097708,1.0518378697208317,3394.5728461,0.7920141964769015,13.855399371836734,11.876317638791285
55,웅진씽크빅,095720,7370.0,34621165.0,10.9,0.89,,148.26,6240.0,377.0,,,,2551.5798605,0.40890702892628206,6.768116340848806,8.1651376146789
