,기업명,종목코드,현재주가,상장주식수,PER,PBR,배당수익률 (%),당좌비율 (%),매출액 (억),영업이익 (억),1년 수익률 (PBR 0.5),1년 수익률 (PBR 2)
541,동국제강,001230,11550.0,95432737.0,17.96,0.49,1.3,43.02,50066.0,2566.0,0.9989849748547107,1.585789799984793
542,대원전선,006340,1110.0,68107171.0,39.64,0.98,,99.84,4224.0,72.0,,
543,이수화학,005950,14250.0,15278000.0,18.92,0.7,3.51,75.94,15154.0,650.0,0.8985920323595071,1.426425937457724
544,삼성증권,016360,40050.0,89300000.0,18.11,0.82,1.57,,44285.0,2117.0,0.8679445792229362,1.3777761381085851
545,삼영무역,002810,17450.0,16466623.0,11.74,1.0,1.58,569.15,2240.0,52.0,0.8636944153607578,1.3710294235227258
546,한양증권,001750,7640.0,12728534.0,14.61,0.38,4.58,,1873.0,89.0,1.154687444977929,1.8329520648524367
547,금호석유,011780,107500.0,30467691.0,49.15,1.85,0.74,37.74,39704.0,1571.0,0.6664994995772728,1.0580020067652414
548,유안타증권,003470,4900.0,199577436.0,33.33,0.97,,,14605.0,132.0,,
549,제일파마홀딩스,002620,37250.0,4345507.0,70.15,1.91,0.19,120.02,6173.0,94.0,,
550,에이엔피,015260,816.0,48684868.0,7.16,0.58,,73.06,1036.0,12.0,,
551,한창제지,009460,987.0,59667486.0,3.66,1.0,,144.33,1945.0,142.0,,
552,넥센,005720,7490.0,53543977.0,4.11,0.5,1.0,107.25,3214.0,1091.0,1.109917027942465,1.7618834577532865
553,삼성공조,006660,11200.0,8126314.0,11.81,0.46,0.8,389.22,847.0,19.0,1.073944148434492,1.7047800709800047
554,세방전지,004490,34500.0,14000000.0,7.69,0.57,1.01,236.6,9598.0,743.0,,
555,진원생명과학,011000,7470.0,21174063.0,-8.4,3.63,,160.03,314.0,140.0,,
556,참엔지니어링,009310,2830.0,49189958.0,23.2,3.09,,152.21,1848.0,275.0,,
557,한국프랜지,010100,9600.0,6090084.0,4.52,0.25,2.6,77.13,11564.0,114.0,1.3113717883693796,2.081672956378972
558,코스모신소재,005070,15500.0,16277968.0,168.48,4.55,,16.19,1903.0,50.0,,
559,덕성,004830,4035.0,15680000.0,23.46,0.95,1.12,149.07,1038.0,34.0,0.8274280471240256,1.3134601524326712
560,신영증권,001720,59900.0,9386237.0,15.91,0.51,4.09,,19850.0,835.0,1.0426502536658746,1.6551041095041192
561,유진투자증권,001200,4060.0,96866418.0,8.55,0.59,,,7152.0,613.0,,
562,유화증권,003460,15450.0,11340483.0,29.94,0.42,5.5,,189.0,63.0,1.1330110063233494,1.7985428633292329
563,대덕GDS,004130,21800.0,20575613.0,51.66,1.05,1.38,400.79,4632.0,49.0,0.8177505254554027,1.2980980443554542
564,한신기계,011700,4085.0,32446151.0,21.5,1.68,1.59,382.66,627.0,87.0,0.7268564171136579,1.153812641156057
