,기업명,종목코드,현재주가,상장주식수,PER,PBR,배당수익률 (%),당좌비율 (%),매출액 (억),영업이익 (억),수익률 (PBR 0.5),수익률 (PBR 2)
257,NICE,034310,15300.0,37882300.0,11.09,1.06,0.85,128.74,13464.0,1269.0,0.8193134934192956,1.3005791013455303
258,대교,019680,8000.0,84702850.0,19.56,1.1,3.0,201.02,8207.0,428.0,0.8318686241367195,1.3205091290539672
259,기업은행,024110,16700.0,559978815.0,9.48,0.61,2.87,,152777.0,15326.0,,
260,나노메딕스,074610,22800.0,21886139.0,182.4,28.86,,109.55,384.0,41.0,,
261,한솔홈데코,025750,1445.0,80565149.0,14.74,0.78,,52.58,2354.0,131.0,,
262,이수페타시스,007660,4375.0,41268398.0,48.61,0.88,2.29,84.59,5542.0,111.0,0.8627389481295837,1.369512713834839
263,강원랜드,035250,32350.0,213940500.0,15.22,2.02,3.06,251.53,16965.0,6186.0,0.7213953201738398,1.1451436901288894
264,YG PLUS,037270,1970.0,58170704.0,-27.75,1.13,,636.99,704.0,68.0,,
265,농심홀딩스,072710,110500.0,4637790.0,6.46,0.61,1.81,57.68,4978.0,869.0,0.9966470266870583,1.5820785386040144
266,한국금융지주,071050,83100.0,55725992.0,18.3,1.44,0.96,,53340.0,3619.0,0.7163099764510977,1.1370712101537888
267,유엔젤,072130,4220.0,13195454.0,-12.98,1.04,2.37,288.57,303.0,47.0,0.7522199456053503,1.194074732965395
268,SBS,034120,27200.0,18252582.0,-937.93,0.89,2.76,189.67,8291.0,77.0,0.8559942548733392,1.3588061806646736
269,엔씨소프트,036570,426000.0,21939022.0,34.31,4.8,0.9,418.83,9836.0,3288.0,0.5302211291839996,0.8416735782424475
270,하이스틸,071090,22000.0,1999944.0,11.29,0.35,0.68,55.47,1489.0,71.0,1.1258062415202685,1.787106012101639
271,DSR제강,069730,5660.0,14400000.0,9.39,0.64,0.71,89.65,1725.0,77.0,0.9706538377226196,1.5408169230978563
272,태경화학,006890,4555.0,11600000.0,13.84,0.55,3.29,133.08,513.0,38.0,1.0445320753254383,1.6580913151861274
273,한농화성,011500,4340.0,15637042.0,7.74,0.65,2.54,135.48,2050.0,82.0,0.992931644923988,1.5761807376848533
274,현대백화점,069960,110000.0,23402441.0,9.33,0.68,0.64,82.26,18318.0,3832.0,0.9549188814310199,1.5158392369278972
275,대호에이엘,069460,1170.0,27134839.0,-14.27,1.39,,37.36,1176.0,1.0,,
276,대웅제약,069620,188000.0,11586575.0,80.76,3.88,0.32,154.7,8839.0,259.0,0.5291906880076913,0.8400378548351844
277,마니커,027740,663.0,116725477.0,82.88,0.87,,42.45,2298.0,35.0,,
278,S&T홀딩스,036530,14250.0,15830105.0,84.32,0.39,2.38,198.81,15377.0,723.0,1.1413254885582698,1.8117412811755165
279,휴켐스,069260,23900.0,40878588.0,22.65,1.87,2.09,209.92,5982.0,769.0,0.6933443822736641,1.1006156017974558
280,세종공업,033530,7740.0,20054430.0,10.75,0.38,2.58,81.64,11544.0,234.0,1.1505846524254424,1.8264392876386124
281,포스코강판,058430,28400.0,6000000.0,5.48,0.83,3.52,84.65,7980.0,411.0,0.9025356022993765,1.4326859645287826
282,삼성출판사,068290,11550.0,10000000.0,20.62,1.37,0.95,57.47,1633.0,122.0,0.7477996388852599,1.1870579334279012
283,세이브존I&C,067830,4885.0,41040895.0,7.4,0.51,0.61,73.27,1830.0,369.0,1.0499835451793242,1.6667449841669586
284,교보증권,030610,11350.0,36000000.0,6.56,0.53,1.5,,11108.0,722.0,1.0062924052404962,1.5973896226663733
285,한샘,009240,180000.0,23533928.0,33.22,6.01,0.61,144.13,19345.0,1596.0,0.5125656647807233,0.8136472754756997
286,신세계건설,034300,30050.0,4000000.0,3.18,0.94,1.66,61.43,14382.0,519.0,,
