,기업명,종목코드,현재주가,상장주식수,PER,PBR,배당수익률 (%),당좌비율 (%),매출액 (억),영업이익 (억),1년 수익률 (PBR 0.5),1년 수익률 (PBR 2),1년 수익률 (PBR 유지)
423,화승인더,006060,10200.0,55320000.0,12.69,2.43,0.25,69.52,10112.0,781.0,0.6137463483004926,0.9742615989338429,1.0396033674208707
424,극동유화,014530,3440.0,34869420.0,8.58,0.86,3.34,235.78,2398.0,181.0,,,
425,고려산업,002140,2825.0,24939425.0,10.13,0.82,1.06,96.42,1723.0,67.0,0.8972532124446934,1.4243006933165525,1.0581071228492476
426,대현,016090,2725.0,45282310.0,2.63,0.74,1.84,118.6,2802.0,161.0,0.9746751839960244,1.5472004124025875,1.1107435854180694
427,동국실업,001620,1295.0,53312072.0,2.68,0.23,,61.59,6260.0,182.0,,,
428,광명전기,017040,2695.0,43337615.0,12.36,1.31,,145.67,969.0,36.0,,,
429,부산산업,011390,33700.0,1056000.0,6.33,0.75,0.74,70.63,1229.0,130.0,0.9273993296958796,1.4721546715538423,1.0616072212372865
430,STX,011810,23850.0,17862430.0,-0.16,-0.34,,26.7,17202.0,342.0,,,
431,고려아연,010130,530000.0,18870000.0,16.88,1.7,1.6,314.96,58475.0,7647.0,0.7392289245235022,1.173452772433928,1.1115745391644054
432,청호컴넷,012600,3340.0,8376352.0,-1.64,0.87,,31.43,858.0,57.0,,,
433,우리들제약,004720,11500.0,11288324.0,31.77,3.16,,184.19,715.0,48.0,,,
434,무림페이퍼,009200,2680.0,41609310.0,536.0,0.29,,40.87,11315.0,421.0,,,
435,현대차투자증권,001500,12400.0,29337111.0,9.14,0.45,3.23,,5634.0,528.0,1.0751566396935963,1.7067047808802094,1.0380523224124272
436,금비,008870,76300.0,1000000.0,21.7,0.66,1.97,156.27,1855.0,117.0,0.9667685197845559,1.5346493653157431,1.0605076623999832
437,대동전자,008110,4040.0,10490447.0,23.63,0.29,,603.2,416.0,13.0,,,
438,원림,005820,24100.0,2200000.0,7.52,0.55,2.08,291.7,854.0,104.0,1.032002298997124,1.638201535061635,1.0653154523599877
439,서흥,008490,36450.0,11569113.0,15.44,1.63,0.9,62.44,3404.0,401.0,0.7148643510292039,1.1347764228383224,1.059976345171369
440,성문전자,014910,3420.0,19486857.0,-55.16,1.95,,138.06,454.0,7.0,,,
441,동원,003580,5300.0,19181100.0,-29.78,1.56,,219.26,183.0,21.0,,,
442,일진홀딩스,015860,6220.0,49347483.0,-22.54,1.02,0.48,57.13,8493.0,16.0,0.7979291594215835,1.2666335870619227,1.0119857379432662
443,대영포장,014160,839.0,106584898.0,8.23,0.65,,76.88,2671.0,67.0,,,
444,영화금속,012280,1525.0,45451006.0,7.51,0.98,1.97,110.75,1564.0,108.0,0.8843331237295198,1.4037913308985634,1.1067119077067313
445,신풍제약,019170,8900.0,52984990.0,-25.28,2.05,,115.9,1941.0,96.0,,,
446,동성제약,002210,10650.0,24756574.0,-143.92,3.82,,161.76,797.0,23.0,,,
447,키위미디어그룹,012170,755.0,156719712.0,-9.56,1.45,,178.49,58.0,62.0,,,
448,한올바이오파마,009420,41600.0,52240638.0,1066.67,20.34,,547.53,829.0,3.0,,,
449,유니켐,011330,1370.0,50980259.0,39.14,2.45,,43.08,368.0,23.0,,,
